PurchasingDocument,Item,DocumentItem,LastChangedon,ShortText,Material,Material1,CompanyCode,Plant,StorageLocation,MaterialGroup,Purchasinginforec,OrderQuantity,OrderUnit,OrderPriceUnit,QuantityConversion,QuantityConversion1,EqualTo,Denominator,NetOrderPrice,Priceunit,NetOrderValue,Grossordervalue,GRprocessingtime,TaxCode,InfoRecordUpdate,PrintPrice,fstReminderExped,sndReminderExped,trdReminderExped,UnltdOverdelivery,DeliveryCompleted,ItemCategory,AcctAssignmentCat,Consumption,GoodsReceipt,InvoiceReceipt,GRBasedInvVerif,BaseUnitofMeasure,PriceDate,PurchDocCategory,Effectivevalue,Affectscommitments,Address,UpdateGroupstats,PlannedDelivTime,NetWeight,UnitofWeight,TaxJurisdiction,ConfirmationControl,ProfitCenter,GrossWeight,Volume,VolumeUnit,Packagenumber,Address1,TimeofTransmission,NextTransmissionNumber,MatLedgerActive,MaterialType,Subtotal3,ReturnsItem,RebateBasis,Recloctimezone,PeriodIndforSLED,MRPArea,CreationDate,CreationTime,ProductTypeGroup
4500000004,1,4.5E+14,2017-10-08 00:00:00,Frame-550,MZ-RM-M550-01,MZ-RM-M550-01,1710,1710,171A,ZFRAME,5300000207,35,PC,PC,1,1,1,1,669.08,1,23417.8,23417.8,0,I0,C,X,0,0,0,,X,0,,,X,X,,PC,2017-10-08 00:00:00,F,22949.45,X,,SAP,0,0,,7700000000,,US10_PLM,0,0,,0,23411,00:00:00,1,X,ROH,23417.8,,23417.8,PST,D,1710,,00:00:00,1
4500000004,2,4.5E+14,2017-10-08 00:00:00,Handle Bars-550,MZ-RM-M550-02,MZ-RM-M550-02,1710,1710,171A,ZHANDLE,5300000208,35,PC,PC,1,1,1,1,38.23,1,1338.05,1338.05,0,I0,C,X,0,0,0,,X,0,,,X,X,,PC,2017-10-08 00:00:00,F,1311.29,X,,SAP,0,0,,7700000000,,US10_PLM,0,0,,0,23411,00:00:00,1,X,ROH,1338.05,,1338.05,PST,D,1710,,00:00:00,1
4500000004,3,4.5E+14,2017-10-08 00:00:00,Seat - 550,MZ-RM-M550-03,MZ-RM-M550-03,1710,1710,171A,ZSEAT,5300000209,35,PC,PC,1,1,1,1,38.23,1,1338.05,1338.05,0,I0,C,X,0,0,0,,X,0,,,X,X,,PC,2017-10-08 00:00:00,F,1311.29,X,,SAP,0,0,,7700000000,,US10_PLM,0,0,,0,23411,00:00:00,1,X,ROH,1338.05,,1338.05,PST,D,1710,,00:00:00,1
4500000004,4,4.5E+14,2017-10-08 00:00:00,Wheels-550,MZ-RM-M550-04,MZ-RM-M550-04,1710,1710,171A,ZWHEEL,5300000210,70,PC,PC,1,1,1,1,47.79,1,3345.3,3345.3,0,I0,C,X,0,0,0,,X,0,,,X,X,,PC,2017-10-08 00:00:00,F,3278.39,X,,SAP,0,0,,7700000000,,US10_PLM,0,0,,0,23411,00:00:00,1,X,ROH,3345.3,,3345.3,PST,D,1710,,00:00:00,1
4500000004,5,4.5E+14,2017-10-08 00:00:00,Forks-550,MZ-RM-M550-05,MZ-RM-M550-05,1710,1710,171A,ZFORK,5300000211,35,PC,PC,1,1,1,1,152.93,1,5352.55,5352.55,0,I0,C,X,0,0,0,,X,0,,,X,X,,PC,2017-10-08 00:00:00,F,5245.5,X,,SAP,0,0,,7700000000,,US10_PLM,0,0,,0,23411,00:00:00,1,X,ROH,5352.55,,5352.55,PST,D,1710,,00:00:00,1
4500000004,6,4.5E+14,2017-10-08 00:00:00,Brakes-550,MZ-RM-M550-06,MZ-RM-M550-06,1710,1710,171A,ZBRAKES,5300000212,35,PC,PC,1,1,1,1,95.58,1,3345.3,3345.3,0,I0,C,X,0,0,0,,X,0,,,X,X,,PC,2017-10-08 00:00:00,F,3278.39,X,,SAP,0,0,,7700000000,,US10_PLM,0,0,,0,23411,00:00:00,1,X,ROH,3345.3,,3345.3,PST,D,1710,,00:00:00,1
4500000004,7,4.5E+14,2017-10-08 00:00:00,Derailleur Gears-550,MZ-RM-M550-07,MZ-RM-M550-07,1710,1710,171A,ZGEARS,5300000213,35,PC,PC,1,1,1,1,229.4,1,8029,8029,0,I0,C,X,0,0,0,,X,0,,,X,X,,PC,2017-10-08 00:00:00,F,7868.42,X,,SAP,0,0,,7700000000,,US10_PLM,0,0,,0,23411,00:00:00,1,X,ROH,8029,,8029,PST,D,1710,,00:00:00,1
4500000004,8,4.5E+14,2017-10-08 00:00:00,Pedal Kit-550,MZ-RM-M550-08,MZ-RM-M550-08,1710,1710,171A,ZPEDAL,5300000214,35,PC,PC,1,1,1,1,114.7,1,4014.5,4014.5,0,I0,C,X,0,0,0,,X,0,,,X,X,,PC,2017-10-08 00:00:00,F,3934.21,X,,SAP,0,0,,7700000000,,US10_PLM,0,0,,0,23411,00:00:00,1,X,ROH,4014.5,,4014.5,PST,D,1710,,00:00:00,1
4500000004,9,4.5E+14,2017-10-08 00:00:00,Drive Train-550,MZ-RM-M550-09,MZ-RM-M550-09,1710,1710,171A,ZTRAIN,5300000215,35,PC,PC,1,1,1,1,382.33,1,13381.55,13381.55,0,I0,C,X,0,0,0,,X,0,,,X,X,,PC,2017-10-08 00:00:00,F,13113.92,X,,SAP,0,0,,7700000000,,US10_PLM,0,0,,0,23411,00:00:00,1,X,ROH,13381.55,,13381.55,PST,D,1710,,00:00:00,1
4500000004,10,4.5E+14,2017-10-08 00:00:00,Shock Kit-550,MZ-RM-M550-10,MZ-RM-M550-10,1710,1710,171A,ZSHOCK,5300000216,35,PC,PC,1,1,1,1,95.58,1,3345.3,3345.3,0,I0,C,X,0,0,0,,X,0,,,X,X,,PC,2017-10-08 00:00:00,F,3278.39,X,,SAP,0,0,,7700000000,,US10_PLM,0,0,,0,23411,00:00:00,1,X,ROH,3345.3,,3345.3,PST,D,1710,,00:00:00,1
4500000006,1,4.5E+14,2017-10-08 00:00:00,Frame-500,MZ-RM-M500-01,MZ-RM-M500-01,1710,1710,171A,ZFRAME,5300000227,93,PC,PC,1,1,1,1,114.42,1,10641.06,10641.06,0,I0,C,X,0,0,0,,X,0,,,X,X,,PC,2017-10-08 00:00:00,F,10641.06,X,,SAP,0,0,,7700000000,,US10_PLM,0,0,,0,23411,00:00:00,1,X,ROH,10641.06,,10641.06,PST,D,1710,,00:00:00,1
4500000006,2,4.5E+14,2017-10-08 00:00:00,Handle Bars-500,MZ-RM-M500-02,MZ-RM-M500-02,1710,1710,171A,ZHANDLE,5300000228,93,PC,PC,1,1,1,1,9.54,1,887.22,887.22,0,I0,C,X,0,0,0,,X,0,,,X,X,,PC,2017-10-08 00:00:00,F,887.22,X,,SAP,0,0,,7700000000,,US10_PLM,0,0,,0,23411,00:00:00,1,X,ROH,887.22,,887.22,PST,D,1710,,00:00:00,1
4500000006,3,4.5E+14,2017-10-08 00:00:00,Seat - 500,MZ-RM-M500-03,MZ-RM-M500-03,1710,1710,171A,ZSEAT,5300000229,93,PC,PC,1,1,1,1,9.54,1,887.22,887.22,0,I0,C,X,0,0,0,,X,0,,,X,X,,PC,2017-10-08 00:00:00,F,887.22,X,,SAP,0,0,,7700000000,,US10_PLM,0,0,,0,23411,00:00:00,1,X,ROH,887.22,,887.22,PST,D,1710,,00:00:00,1
4500000006,4,4.5E+14,2017-10-08 00:00:00,Wheels-500,MZ-RM-M500-04,MZ-RM-M500-04,1710,1710,171A,ZWHEEL,5300000230,186,PC,PC,1,1,1,1,16.69,1,3104.34,3104.34,0,I0,C,X,0,0,0,,X,0,,,X,X,,PC,2017-10-08 00:00:00,F,3104.34,X,,SAP,0,0,,7700000000,,US10_PLM,0,0,,0,23411,00:00:00,1,X,ROH,3104.34,,3104.34,PST,D,1710,,00:00:00,1
4500000006,5,4.5E+14,2017-10-08 00:00:00,Forks-500,MZ-RM-M500-05,MZ-RM-M500-05,1710,1710,171A,ZFORK,5300000231,93,PC,PC,1,1,1,1,38.14,1,3547.02,3547.02,0,I0,C,X,0,0,0,,X,0,,,X,X,,PC,2017-10-08 00:00:00,F,3547.02,X,,SAP,0,0,,7700000000,,US10_PLM,0,0,,0,23411,00:00:00,1,X,ROH,3547.02,,3547.02,PST,D,1710,,00:00:00,1
4500000006,6,4.5E+14,2017-10-08 00:00:00,Brakes-500,MZ-RM-M500-06,MZ-RM-M500-06,1710,1710,171A,ZBRAKES,5300000232,93,PC,PC,1,1,1,1,33.37,1,3103.41,3103.41,0,I0,C,X,0,0,0,,X,0,,,X,X,,PC,2017-10-08 00:00:00,F,3103.41,X,,SAP,0,0,,7700000000,,US10_PLM,0,0,,0,23411,00:00:00,1,X,ROH,3103.41,,3103.41,PST,D,1710,,00:00:00,1
